"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","1","Possible God class (WMC=121, ATFD=30, TCC=0.036231884057971016)","Design","GodClass"
"2","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","4","4","Avoid unused imports such as 'java.util.Hashtable'","Import Statements","UnusedImports"
"3","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","31","The class 'BBBDeploymentListener' has a Cyclomatic Complexity of 5 (Highest = 32).","Code Size","CyclomaticComplexity"
"4","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","38","If you run in Java5 or newer and have concurrent access, you should use the ConcurrentHashMap implementation","Controversial","UseConcurrentHashMap"
"5","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","43","Avoid excessively long variable names like ENDECA_FAILED_DUE_TO_TIMEOUT","Naming","LongVariable"
"6","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","44","Avoid excessively long variable names like ENDECA_FAILED_DUE_TO_CRONJOB","Naming","LongVariable"
"7","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","44","Avoid unused private fields such as 'ENDECA_FAILED_DUE_TO_CRONJOB'.","Unused Code","UnusedPrivateField"
"8","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","45","Avoid excessively long variable names like BBB_REGULAR_PRODUCTION_IMPORT","Naming","LongVariable"
"9","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","46","Avoid excessively long variable names like isTimeOutForEndeca","Naming","LongVariable"
"10","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","46","Field isTimeOutForEndeca has the same name as a method","Naming","AvoidFieldNameMatchingMethodName"
"11","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","46","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBeans","BeanMembersShouldSerialize"
"12","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","47","Avoid excessively long variable names like mTargetServerToExcludeForEndeca","Naming","LongVariable"
"13","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","47","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBeans","BeanMembersShouldSerialize"
"14","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","61","Avoid excessively long variable names like pTargetServerToExcludeForEndeca","Naming","LongVariable"
"15","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","61","Parameter 'pTargetServerToExcludeForEndeca' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"16","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","76","Parameter 'deploymentManager' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"17","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","91","Parameter 'timeOut' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"18","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","106","Avoid excessively long variable names like isTimeOutForEndeca","Naming","LongVariable"
"19","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","106","Parameter 'isTimeOutForEndeca' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"20","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","121","Parameter 'interval' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"21","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","136","Parameter 'dsToPollStateMap' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"22","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","144","Parameter 'pimFeedTool' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"23","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","151","Avoid really long methods.","Code Size","ExcessiveMethodLength"
"24","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","5","151","Found 'UR'-anomaly for variable 'key' (lines '151'-'224').","Controversial","DataflowAnomalyAnalysis"
"25","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","151","Parameter 'event' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"26","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","151","The method 'deploymentEvent' has a Cyclomatic Complexity of 32.","Code Size","CyclomaticComplexity"
"27","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","151","The method deploymentEvent() has an NPath complexity of 1058250","Code Size","NPathComplexity"
"28","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","152","Avoid declaring a variable if it is unreferenced before a possible exit point.","Optimization","PrematureDeclaration"
"29","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","152","Avoid excessively long variable names like eventDeploymentType","Naming","LongVariable"
"30","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","152","Avoid unused local variables such as 'eventDeploymentType'.","Unused Code","UnusedLocalVariable"
"31","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","5","152","Found 'DU'-anomaly for variable 'eventDeploymentType' (lines '152'-'276').","Controversial","DataflowAnomalyAnalysis"
"32","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","152","Local variable 'eventDeploymentType' could be declared final","Optimization","LocalVariableCouldBeFinal"
"33","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","153","Avoid declaring a variable if it is unreferenced before a possible exit point.","Optimization","PrematureDeclaration"
"34","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","5","153","Found 'DD'-anomaly for variable 'deploymentType' (lines '153'-'165').","Controversial","DataflowAnomalyAnalysis"
"35","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","5","153","Found 'DU'-anomaly for variable 'deploymentType' (lines '153'-'276').","Controversial","DataflowAnomalyAnalysis"
"36","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","155","Avoid declaring a variable if it is unreferenced before a possible exit point.","Optimization","PrematureDeclaration"
"37","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","5","155","Found 'DU'-anomaly for variable 'newStateAsString' (lines '155'-'276').","Controversial","DataflowAnomalyAnalysis"
"38","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","156","Avoid declaring a variable if it is unreferenced before a possible exit point.","Optimization","PrematureDeclaration"
"39","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","5","156","Found 'DU'-anomaly for variable 'deploymentId' (lines '156'-'276').","Controversial","DataflowAnomalyAnalysis"
"40","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","158","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"41","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","165","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"42","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","173","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"43","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","187","Local variable 'targetServer' could be declared final","Optimization","LocalVariableCouldBeFinal"
"44","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","5","192","Found 'DD'-anomaly for variable 'deploymentType' (lines '192'-'257').","Controversial","DataflowAnomalyAnalysis"
"45","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","5","192","Found 'DU'-anomaly for variable 'deploymentType' (lines '192'-'276').","Controversial","DataflowAnomalyAnalysis"
"46","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","194","Deeply nested if..then statements are hard to read","Design","AvoidDeeplyNestedIfStmts"
"47","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","207","Deeply nested if..then statements are hard to read","Design","AvoidDeeplyNestedIfStmts"
"48","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","214","Deeply nested if..then statements are hard to read","Design","AvoidDeeplyNestedIfStmts"
"49","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","217","Local variable 'DCStatusMap' could be declared final","Optimization","LocalVariableCouldBeFinal"
"50","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","1","217","Variables should start with a lowercase character, 'DCStatusMap' starts with uppercase character.","Naming","VariableNamingConventions"
"51","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","218","Local variable 'interruptMessage' could be declared final","Optimization","LocalVariableCouldBeFinal"
"52","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","219","Deeply nested if..then statements are hard to read","Design","AvoidDeeplyNestedIfStmts"
"53","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","219","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"54","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","220","Local variable 'keySet' could be declared final","Optimization","LocalVariableCouldBeFinal"
"55","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","220","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"56","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","221","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"57","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","223","Local variable 'key' could be declared final","Optimization","LocalVariableCouldBeFinal"
"58","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","224","Avoid appending characters as strings in StringBuffer.append.","String and StringBuffer","AppendCharacterWithChar"
"59","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","224","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"60","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","224","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"61","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","228","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"62","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","236","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"63","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","237","Avoid excessively long variable names like interruptedException","Naming","LongVariable"
"64","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","257","Assigning an Object to null is a code smell.  Consider refactoring.","Controversial","NullAssignment"
"65","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","5","257","Found 'DU'-anomaly for variable 'deploymentType' (lines '257'-'276').","Controversial","DataflowAnomalyAnalysis"
"66","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","262","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"67","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","263","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"68","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","268","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"69","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","278","Parameter 'deploymentId' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"70","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","278","Parameter 'event' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"71","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","278","Parameter 'targetServer' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"72","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","278","The method 'addEndeca' has a Cyclomatic Complexity of 12.","Code Size","CyclomaticComplexity"
"73","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","5","280","Found 'DU'-anomaly for variable 'isSwitachableDS' (lines '280'-'324').","Controversial","DataflowAnomalyAnalysis"
"74","com.bbb.deployment","src/com/bbb/deployment/BBBDeploymentListener.java","3","281","Avoid excessively long variable names like isEndecaSuccessFlag","Naming","LongVariable"
