"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","atg.rest.processor","src/atg/rest/processor/BBBRestSecurityProcessor.java","3","1","Comment is too large: Too many lines","Comments","CommentSize"
"2","atg.rest.processor","src/atg/rest/processor/BBBRestSecurityProcessor.java","3","9","Comment is too large: Line too long","Comments","CommentSize"
"3","atg.rest.processor","src/atg/rest/processor/BBBRestSecurityProcessor.java","3","38","The class 'BBBRestSecurityProcessor' has a Cyclomatic Complexity of 4 (Highest = 17).","Code Size","CyclomaticComplexity"
"4","atg.rest.processor","src/atg/rest/processor/BBBRestSecurityProcessor.java","3","41","Avoid excessively long variable names like mRestCustomRepoSecurityEnable","Naming","LongVariable"
"5","atg.rest.processor","src/atg/rest/processor/BBBRestSecurityProcessor.java","3","41","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBeans","BeanMembersShouldSerialize"
"6","atg.rest.processor","src/atg/rest/processor/BBBRestSecurityProcessor.java","3","42","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBeans","BeanMembersShouldSerialize"
"7","atg.rest.processor","src/atg/rest/processor/BBBRestSecurityProcessor.java","3","53","Avoid excessively long variable names like pRestCustomRepoSecurityEnable","Naming","LongVariable"
"8","atg.rest.processor","src/atg/rest/processor/BBBRestSecurityProcessor.java","3","53","Parameter 'pRestCustomRepoSecurityEnable' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"9","atg.rest.processor","src/atg/rest/processor/BBBRestSecurityProcessor.java","3","70","Parameter 'pHttpsEnabled' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"10","atg.rest.processor","src/atg/rest/processor/BBBRestSecurityProcessor.java","3","74","Comment is too large: Too many lines","Comments","CommentSize"
"11","atg.rest.processor","src/atg/rest/processor/BBBRestSecurityProcessor.java","5","85","Found 'UR'-anomaly for variable 'accessControlEntry' (lines '85'-'111').","Controversial","DataflowAnomalyAnalysis"
"12","atg.rest.processor","src/atg/rest/processor/BBBRestSecurityProcessor.java","5","85","Found 'UR'-anomaly for variable 'personaRole' (lines '85'-'116').","Controversial","DataflowAnomalyAnalysis"
"13","atg.rest.processor","src/atg/rest/processor/BBBRestSecurityProcessor.java","5","85","Found 'UR'-anomaly for variable 'personaRole' (lines '85'-'122').","Controversial","DataflowAnomalyAnalysis"
