"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.bbb.account.baby","src/com/bbb/account/baby/BABYBOOKREQUEST.java","3","121","Parameter 'value' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"2","com.bbb.account.baby","src/com/bbb/account/baby/BABYBOOKREQUEST.java","3","145","Parameter 'value' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"3","com.bbb.account.baby","src/com/bbb/account/baby/BABYBOOKREQUEST.java","3","169","Parameter 'value' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"4","com.bbb.account.baby","src/com/bbb/account/baby/BABYBOOKREQUEST.java","3","193","Parameter 'value' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"5","com.bbb.account.baby","src/com/bbb/account/baby/BABYBOOKREQUEST.java","3","217","Parameter 'value' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"6","com.bbb.account.baby","src/com/bbb/account/baby/BABYBOOKREQUEST.java","3","241","Parameter 'value' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"7","com.bbb.account.baby","src/com/bbb/account/baby/BABYBOOKREQUEST.java","3","265","Parameter 'value' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"8","com.bbb.account.baby","src/com/bbb/account/baby/BABYBOOKREQUEST.java","3","289","Parameter 'value' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"9","com.bbb.account.baby","src/com/bbb/account/baby/BABYBOOKREQUEST.java","3","313","Parameter 'value' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"10","com.bbb.account.baby","src/com/bbb/account/baby/BABYBOOKREQUEST.java","3","337","Parameter 'value' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"11","com.bbb.account.baby","src/com/bbb/account/baby/BABYBOOKREQUEST.java","3","361","Parameter 'value' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"12","com.bbb.account.baby","src/com/bbb/account/baby/BABYBOOKREQUEST.java","3","385","Parameter 'value' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"13","com.bbb.account.baby","src/com/bbb/account/baby/BABYBOOKREQUEST.java","3","409","Parameter 'value' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"14","com.bbb.account.baby","src/com/bbb/account/baby/BABYBOOKREQUEST.java","3","433","Parameter 'value' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"15","com.bbb.account.baby","src/com/bbb/account/baby/Main.java","3","67","Parameter 'value' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"16","com.bbb.account.baby","src/com/bbb/account/baby/ObjectFactory.java","3","36","Avoid unnecessary constructors - the compiler will generate these for you","Controversial","UnnecessaryConstructor"
"17","com.bbb.account.baby","src/com/bbb/account/baby/ObjectFactory.java","3","36","Document empty constructor","Design","UncommentedEmptyConstructor"
"18","com.bbb.account.baby","src/com/bbb/account/baby/TypeEnum.java","3","39","Avoid variables with short names like v","Naming","ShortVariable"
"19","com.bbb.account.baby","src/com/bbb/account/baby/TypeEnum.java","3","39","Parameter 'v' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
