"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.bbb.ecommerce.pricing","src/com/bbb/ecommerce/pricing/BBBCyberSourceTax.java","3","4","A high number of imports can indicate a high degree of coupling within an object.","Coupling","ExcessiveImports"
"2","com.bbb.ecommerce.pricing","src/com/bbb/ecommerce/pricing/BBBCyberSourceTax.java","3","4","Possible God class (WMC=48, ATFD=48, TCC=0.027777777777777776)","Design","GodClass"
"3","com.bbb.ecommerce.pricing","src/com/bbb/ecommerce/pricing/BBBCyberSourceTax.java","3","42","The class 'BBBCyberSourceTax' has a Cyclomatic Complexity of 6 (Highest = 14).","Code Size","CyclomaticComplexity"
"4","com.bbb.ecommerce.pricing","src/com/bbb/ecommerce/pricing/BBBCyberSourceTax.java","3","46","Comment is too large: Too many lines","Comments","CommentSize"
"5","com.bbb.ecommerce.pricing","src/com/bbb/ecommerce/pricing/BBBCyberSourceTax.java","3","60","Parameter 'ccinfo' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"6","com.bbb.ecommerce.pricing","src/com/bbb/ecommerce/pricing/BBBCyberSourceTax.java","3","63","Avoid excessively long variable names like specialInstructions","Naming","LongVariable"
"7","com.bbb.ecommerce.pricing","src/com/bbb/ecommerce/pricing/BBBCyberSourceTax.java","3","63","Local variable 'specialInstructions' could be declared final","Optimization","LocalVariableCouldBeFinal"
"8","com.bbb.ecommerce.pricing","src/com/bbb/ecommerce/pricing/BBBCyberSourceTax.java","3","63","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"9","com.bbb.ecommerce.pricing","src/com/bbb/ecommerce/pricing/BBBCyberSourceTax.java","3","65","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"10","com.bbb.ecommerce.pricing","src/com/bbb/ecommerce/pricing/BBBCyberSourceTax.java","5","67","Found 'DD'-anomaly for variable 'taxStatuses' (lines '67'-'70').","Controversial","DataflowAnomalyAnalysis"
"11","com.bbb.ecommerce.pricing","src/com/bbb/ecommerce/pricing/BBBCyberSourceTax.java","5","70","Found 'DD'-anomaly for variable 'taxStatuses' (lines '70'-'75').","Controversial","DataflowAnomalyAnalysis"
"12","com.bbb.ecommerce.pricing","src/com/bbb/ecommerce/pricing/BBBCyberSourceTax.java","3","80","Avoid excessively long variable names like paramTaxRequestInfo","Naming","LongVariable"
"13","com.bbb.ecommerce.pricing","src/com/bbb/ecommerce/pricing/BBBCyberSourceTax.java","3","80","Parameter 'paramTaxRequestInfo' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"14","com.bbb.ecommerce.pricing","src/com/bbb/ecommerce/pricing/BBBCyberSourceTax.java","5","82","Found 'DD'-anomaly for variable 'arrayOfTaxStatus' (lines '82'-'90').","Controversial","DataflowAnomalyAnalysis"
"15","com.bbb.ecommerce.pricing","src/com/bbb/ecommerce/pricing/BBBCyberSourceTax.java","5","82","Found 'DU'-anomaly for variable 'arrayOfTaxStatus' (lines '82'-'115').","Controversial","DataflowAnomalyAnalysis"
"16","com.bbb.ecommerce.pricing","src/com/bbb/ecommerce/pricing/BBBCyberSourceTax.java","3","85","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"17","com.bbb.ecommerce.pricing","src/com/bbb/ecommerce/pricing/BBBCyberSourceTax.java","3","85","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"18","com.bbb.ecommerce.pricing","src/com/bbb/ecommerce/pricing/BBBCyberSourceTax.java","3","85","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"19","com.bbb.ecommerce.pricing","src/com/bbb/ecommerce/pricing/BBBCyberSourceTax.java","3","85","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"20","com.bbb.ecommerce.pricing","src/com/bbb/ecommerce/pricing/BBBCyberSourceTax.java","3","87","Avoid excessively long variable names like localCyberSourceStatus","Naming","LongVariable"
"21","com.bbb.ecommerce.pricing","src/com/bbb/ecommerce/pricing/BBBCyberSourceTax.java","3","87","Local variable 'localCyberSourceStatus' could be declared final","Optimization","LocalVariableCouldBeFinal"
"22","com.bbb.ecommerce.pricing","src/com/bbb/ecommerce/pricing/BBBCyberSourceTax.java","3","87","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
