"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","1","Possible God class (WMC=65, ATFD=48, TCC=0.09686609686609686)","Design","GodClass"
"2","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","4","23","Avoid unused imports such as 'com.bbb.utils.BBBUtility'","Import Statements","UnusedImports"
"3","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","47","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBeans","BeanMembersShouldSerialize"
"4","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","48","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBeans","BeanMembersShouldSerialize"
"5","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","62","Avoid unused private fields such as 'MIN_PRICE'.","Unused Code","UnusedPrivateField"
"6","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","63","Avoid unused private fields such as 'MAX_PRICE'.","Unused Code","UnusedPrivateField"
"7","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","64","Avoid excessively long variable names like DEFAULT_MIN_PRICE_RANGE","Naming","LongVariable"
"8","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","64","Avoid unused private fields such as 'DEFAULT_MIN_PRICE_RANGE'.","Unused Code","UnusedPrivateField"
"9","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","65","Avoid excessively long variable names like DEFAULT_MAX_PRICE_RANGE","Naming","LongVariable"
"10","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","65","Avoid unused private fields such as 'DEFAULT_MAX_PRICE_RANGE'.","Unused Code","UnusedPrivateField"
"11","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","74","Comment is too large: Line too long","Comments","CommentSize"
"12","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","87","Local variable 'methodName' could be declared final","Optimization","LocalVariableCouldBeFinal"
"13","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","99","Comment is too large: Line too long","Comments","CommentSize"
"14","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","99","Comment is too large: Too many lines","Comments","CommentSize"
"15","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","5","121","Found 'DD'-anomaly for variable 'urlGen' (lines '121'-'123').","Controversial","DataflowAnomalyAnalysis"
"16","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","5","122","Found 'DD'-anomaly for variable 'hyperlink' (lines '122'-'160').","Controversial","DataflowAnomalyAnalysis"
"17","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","124","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"18","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","125","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"19","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","126","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"20","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","127","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"21","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","128","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"22","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","129","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"23","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","130","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"24","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","131","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"25","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","135","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"26","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","135","The String literal 'true' appears 22 times in this file; the first occurrence is on line 135","String and StringBuffer","AvoidDuplicateLiterals"
"27","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","140","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"28","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","143","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"29","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","147","Comment is too large: Line too long","Comments","CommentSize"
"30","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","147","Comment is too large: Too many lines","Comments","CommentSize"
"31","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","152","Comment is too large: Line too long","Comments","CommentSize"
"32","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","153","Comment is too large: Line too long","Comments","CommentSize"
"33","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","154","Comment is too large: Line too long","Comments","CommentSize"
"34","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","160","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"35","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","5","178","Found 'DD'-anomaly for variable 'urlGen' (lines '178'-'180').","Controversial","DataflowAnomalyAnalysis"
"36","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","5","179","Found 'DD'-anomaly for variable 'hyperlink' (lines '179'-'214').","Controversial","DataflowAnomalyAnalysis"
"37","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","181","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"38","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","182","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"39","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","183","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"40","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","184","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"41","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","185","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"42","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","186","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"43","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","187","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"44","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","188","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"45","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","191","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"46","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","195","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"47","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","198","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"48","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","202","Comment is too large: Line too long","Comments","CommentSize"
"49","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","202","Comment is too large: Too many lines","Comments","CommentSize"
"50","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","207","Comment is too large: Line too long","Comments","CommentSize"
"51","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","208","Comment is too large: Line too long","Comments","CommentSize"
"52","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","209","Comment is too large: Line too long","Comments","CommentSize"
"53","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","3","214","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"54","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","5","232","Found 'DD'-anomaly for variable 'urlGen' (lines '232'-'234').","Controversial","DataflowAnomalyAnalysis"
"55","com.bbb.search.endeca","src/com/bbb/search/endeca/EndecaClient.java","5","233","Found 'DD'-anomaly for variable 'hyperlink' (lines '233'-'268').","Controversial","DataflowAnomalyAnalysis"
