"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","21","Avoid using redundant field initializer for 'mRecipientEmail'","Optimization","RedundantFieldInitializer"
"2","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","21","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBeans","BeanMembersShouldSerialize"
"3","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","22","Avoid using redundant field initializer for 'mSenderEmail'","Optimization","RedundantFieldInitializer"
"4","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","22","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBeans","BeanMembersShouldSerialize"
"5","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","23","Avoid using redundant field initializer for 'mMessage'","Optimization","RedundantFieldInitializer"
"6","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","23","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBeans","BeanMembersShouldSerialize"
"7","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","24","Avoid using redundant field initializer for 'mSiteId'","Optimization","RedundantFieldInitializer"
"8","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","24","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBeans","BeanMembersShouldSerialize"
"9","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","25","Avoid using redundant field initializer for 'mSubject'","Optimization","RedundantFieldInitializer"
"10","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","25","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBeans","BeanMembersShouldSerialize"
"11","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","26","Avoid using redundant field initializer for 'sucessUrl'","Optimization","RedundantFieldInitializer"
"12","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","27","Avoid using redundant field initializer for 'errorUrl'","Optimization","RedundantFieldInitializer"
"13","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","28","Avoid using redundant field initializer for 'successMessage'","Optimization","RedundantFieldInitializer"
"14","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","29","Avoid using redundant field initializer for 'emailSender'","Optimization","RedundantFieldInitializer"
"15","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","74","Parameter 'sucessUrl' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"16","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","80","Parameter 'errorUrl' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"17","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","86","Parameter 'successMessage' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"18","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","94","Parameter 'emailSender' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"19","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","97","Avoid excessively long variable names like errorPlaceHolderMap","Naming","LongVariable"
"20","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","97","Avoid unused method parameters such as 'pRequest'.","Unused Code","UnusedFormalParameter"
"21","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","97","Avoid unused method parameters such as 'pResponse'.","Unused Code","UnusedFormalParameter"
"22","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","97","Parameter 'errorPlaceHolderMap' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"23","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","97","Parameter 'pRequest' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"24","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","97","Parameter 'pResponse' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"25","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","101","The String literal 'Email Address' appears 4 times in this file; the first occurrence is on line 101","String and StringBuffer","AvoidDuplicateLiterals"
"26","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","101","The String literal 'fieldName' appears 4 times in this file; the first occurrence is on line 101","String and StringBuffer","AvoidDuplicateLiterals"
"27","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","120","Parameter 'pRequest' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"28","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","120","Parameter 'pResponse' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"29","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","123","Avoid excessively long variable names like errorPlaceHolderMap","Naming","LongVariable"
"30","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","123","If you run in Java5 or newer and have concurrent access, you should use the ConcurrentHashMap implementation","Controversial","UseConcurrentHashMap"
"31","com.bbb.email.formhandler","src/com/bbb/email/formhandler/TestEmailFormHandler.java","3","123","Local variable 'errorPlaceHolderMap' could be declared final","Optimization","LocalVariableCouldBeFinal"
