"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.bbb.valuelink","src/com/bbb/valuelink/AssignWorkingKeyTransaction.java","3","15","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseSingleton"
"2","com.bbb.valuelink","src/com/bbb/valuelink/AssignWorkingKeyTransaction.java","3","17","Avoid variables with short names like FS","Naming","ShortVariable"
"3","com.bbb.valuelink","src/com/bbb/valuelink/AssignWorkingKeyTransaction.java","3","17","The field name indicates a constant but its modifiers do not","Naming","SuspiciousConstantFieldName"
"4","com.bbb.valuelink","src/com/bbb/valuelink/AssignWorkingKeyTransaction.java","1","17","Variables should start with a lowercase character, 'FS' starts with uppercase character.","Naming","VariableNamingConventions"
"5","com.bbb.valuelink","src/com/bbb/valuelink/AssignWorkingKeyTransaction.java","3","18","Avoid excessively long variable names like ASSIGN_MERCHANT_KEY_TRAN","Naming","LongVariable"
"6","com.bbb.valuelink","src/com/bbb/valuelink/AssignWorkingKeyTransaction.java","1","19","Variables that are final and static should be all capitals, 'stMID' is not all capitals.","Naming","VariableNamingConventions"
"7","com.bbb.valuelink","src/com/bbb/valuelink/AssignWorkingKeyTransaction.java","1","20","Variables that are final and static should be all capitals, 'stTID' is not all capitals.","Naming","VariableNamingConventions"
"8","com.bbb.valuelink","src/com/bbb/valuelink/AssignWorkingKeyTransaction.java","1","21","Variables that are final and static should be all capitals, 'stDID' is not all capitals.","Naming","VariableNamingConventions"
"9","com.bbb.valuelink","src/com/bbb/valuelink/AssignWorkingKeyTransaction.java","1","22","Variables that are final and static should be all capitals, 'svcid' is not all capitals.","Naming","VariableNamingConventions"
"10","com.bbb.valuelink","src/com/bbb/valuelink/AssignWorkingKeyTransaction.java","1","23","Variables that are final and static should be all capitals, 'AppID' is not all capitals.","Naming","VariableNamingConventions"
"11","com.bbb.valuelink","src/com/bbb/valuelink/AssignWorkingKeyTransaction.java","1","26","Variables that are final and static should be all capitals, 'sdList' is not all capitals.","Naming","VariableNamingConventions"
"12","com.bbb.valuelink","src/com/bbb/valuelink/AssignWorkingKeyTransaction.java","3","34","Parameter 'args' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"13","com.bbb.valuelink","src/com/bbb/valuelink/AssignWorkingKeyTransaction.java","3","35","Comment is too large: Line too long","Comments","CommentSize"
"14","com.bbb.valuelink","src/com/bbb/valuelink/AssignWorkingKeyTransaction.java","2","37","System.out.print is used","Java Logging","SystemPrintln"
"15","com.bbb.valuelink","src/com/bbb/valuelink/AssignWorkingKeyTransaction.java","3","41","Local variable 'mid' could be declared final","Optimization","LocalVariableCouldBeFinal"
"16","com.bbb.valuelink","src/com/bbb/valuelink/AssignWorkingKeyTransaction.java","3","42","Local variable 'workKeyID' could be declared final","Optimization","LocalVariableCouldBeFinal"
