"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","1","Comment is too large: Too many lines","Comments","CommentSize"
"2","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","9","Comment is too large: Line too long","Comments","CommentSize"
"3","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","4","20","Avoid unused imports such as 'org.dozer.DozerBeanMapper'","Import Statements","UnusedImports"
"4","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","37","Parameter 'pReqVO' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"5","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","42","Avoid excessively long variable names like activateBigBlueDocument","Naming","LongVariable"
"6","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","5","42","Found 'DD'-anomaly for variable 'activateBigBlueDocument' (lines '42'-'44').","Controversial","DataflowAnomalyAnalysis"
"7","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","44","Potential violation of Law of Demeter (static property access)","Coupling","LawOfDemeter"
"8","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","45","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"9","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","60","Parameter 'pReqVO' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"10","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","66","Local variable 'activateBigBlue' could be declared final","Optimization","LocalVariableCouldBeFinal"
"11","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","66","Potential violation of Law of Demeter (static property access)","Coupling","LawOfDemeter"
"12","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","71","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"13","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","71","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"14","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","71","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"15","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","72","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"16","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","72","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"17","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","72","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"18","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","73","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"19","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","73","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"20","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","73","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"21","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","74","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"22","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","74","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"23","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","75","Avoid using if...else statements without curly braces","Braces","IfElseStmtsMustUseBraces"
"24","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","75","Avoid using if...else statements without curly braces","Braces","IfElseStmtsMustUseBraces"
"25","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","75","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"26","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","77","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"27","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","79","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"28","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","79","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"29","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","80","Avoid using if...else statements without curly braces","Braces","IfElseStmtsMustUseBraces"
"30","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","80","Avoid using if...else statements without curly braces","Braces","IfElseStmtsMustUseBraces"
"31","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","80","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"32","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","82","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"33","com.bbb.account","src/com/bbb/account/ActivateCouponMarshaller.java","3","84","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
